events,interp_cum_ns,jit_cum_ns
1,308.482,5.04428e+06
10,3084.82,5.04537e+06
100,30848.2,5.0563e+06
1000,308482,5.16555e+06
10000,3.08482e+06,6.25807e+06
100000,3.08482e+07,1.71832e+07
1000000,3.08482e+08,1.26435e+08
10000000,3.08482e+09,1.21895e+09
26960,8.31696e+06,8.31696e+06  # breakeven
