events,interp_cum_ns,jit_cum_ns
1,8.24073,1.31114e+06
10,82.4073,1.31116e+06
100,824.073,1.31137e+06
1000,8240.73,1.31346e+06
10000,82407.3,1.3344e+06
100000,824073,1.54377e+06
1000000,8.24073e+06,3.63751e+06
10000000,8.24073e+07,2.45749e+07
221686,1.82686e+06,1.82686e+06  # breakeven
