iteration,objective
0,0.061678750000000178
1,0.041298672825062062
2,0.029310834402531523
3,0.024625688089855921
4,0.024313148911125695
5,0.024705871819677164
6,0.023780104900322757
7,0.021299580040886914
8,0.017793751681066908
9,0.013955643792151152
10,0.010406418286861537
11,0.0075939662816428034
12,0.0057398100204755879
13,0.0048223115111460223
14,0.004609442588374835
15,0.0047500096344602234
16,0.0049021708446830648
17,0.0048465673863699746
18,0.0045349745820877961
19,0.004064703533067769
20,0.00360594511676131
21,0.0033194106291801139
22,0.0032931017750626999
23,0.0035146927210061218
24,0.0038841612618773667
25,0.0042584777547354001
26,0.004508369260708865
27,0.0045631027593484585
28,0.0044267547762428527
29,0.0041639532128489682
30,0.0038656997431260214
31,0.0036113365977138738
32,0.0034412700487007715
33,0.0033491348100194046
34,0.0032939011345474679
35,0.0032244696085600333
36,0.0031047757915406457
37,0.0029285811262676053
38,0.0027190979871584333
39,0.0025158464563236238
40,0.0023561306973974546
41,0.0022596727577836244
42,0.002222550886588996
43,0.0022219885801947341
44,0.0022286416616792521
45,0.0022199617790199192
46,0.0021884032192910664
47,0.0021414214871969639
48,0.0020944939213570933
49,0.0020615070043973885
50,0.0020474789498506462
51,0.0020467926904288347
52,0.0020470462629892695
53,0.0020358680472388445
54,0.0020069063442185748
55,0.0019621002528638467
56,0.0019095924676257635
57,0.0018589306359759312
58,0.0018163483198373443
59,0.0017824898836353155
60,0.0017533649054247977
61,0.0017235367572925719
62,0.0016895193101231823
63,0.0016515347374158223
64,0.0016129303283589809
65,0.0015779189362503355
66,0.001549125239302162
67,0.0015263183971444163
68,0.0015068675349243187
69,0.0014874284285034468
70,0.0014657521605046832
71,0.0014415954718890829
72,0.0014163670267727847
73,0.0013919147085989475
74,0.0013692879762155601
75,0.0013481964420024651
76,0.0013273713519453703
77,0.0013054752842859784
78,0.0012819332069600466
79,0.0012571968672894804
80,0.0012323651043422111
