signal,events,throughput,lat_ns_p50,lat_ns_p99,lat_ns_p999,sink,jit_mode,jit_throughput,jit_lat_ns_p50,jit_lat_ns_p99,jit_lat_ns_p999,jit_sink,hw_throughput,hw_lat_ns_p50,hw_lat_ns_p99,hw_lat_ns_p999,hw_sink
spread,2000,1.28123e+06,600,600,900,-2900.79,unavailable,nan,nan,nan,nan,nan,3.8373e+06,0,100,100,2900.79
spread,50000,1.15864e+06,600,900,2500,-200659,unavailable,nan,nan,nan,nan,nan,3.78186e+06,0,100,100,200659
