label,bucket_index,lo_ns,hi_ns,count,cum_count,cum_fraction
jit,111,124,128,12,999810,0.99981
jit,112,128,136,11,999821,0.999821
jit,113,136,144,13,999834,0.999834
jit,114,144,152,7,999841,0.999841
jit,115,152,160,14,999855,0.999855
jit,116,160,168,28,999883,0.999883
jit,117,168,176,25,999908,0.999908
jit,118,176,184,15,999923,0.999923
jit,119,184,192,15,999938,0.999938
jit,120,192,200,6,999944,0.999944
jit,121,200,208,7,999951,0.999951
jit,122,208,216,4,999955,0.999955
jit,123,216,224,7,999962,0.999962
jit,124,224,232,5,999967,0.999967
jit,125,232,240,1,999968,0.999968
jit,128,256,272,2,999970,0.99997
jit,134,352,368,1,999971,0.999971
jit,157,928,960,1,999972,0.999972
jit,184,3072,3200,2,999974,0.999974
jit,186,3328,3456,1,999975,0.999975
jit,192,4096,4352,3,999978,0.999978
jit,195,4864,5120,1,999979,0.999979
jit,196,5120,5376,5,999984,0.999984
jit,197,5376,5632,6,999990,0.99999
jit,199,5888,6144,1,999991,0.999991
jit,200,6144,6400,3,999994,0.999994
jit,201,6400,6656,2,999996,0.999996
jit,204,7168,7424,2,999998,0.999998
jit,215,11776,12288,1,999999,0.999999
jit,261,86016,90112,1,1000000,1
